,open,high,low,close,volume
2018-05-15,12.18,12.46,12.16,12.45,44183179.0
2018-05-16,12.64,12.98,12.62,12.82,73363996.0
2018-05-17,12.79,12.9,12.66,12.82,38692510.0
2018-05-18,13.06,13.26,12.91,13.0,54063411.0
2018-05-21,13.25,13.31,12.88,12.99,49714221.0
2018-05-22,13.0,13.14,12.71,12.98,43267033.0
2018-05-23,12.93,13.18,12.9,13.1,44517762.0
2018-05-24,13.06,13.43,13.03,13.41,47785726.0
2018-05-25,13.4,13.72,13.36,13.54,43850067.0
2018-05-29,13.45,13.63,13.26,13.36,39578498.0
2018-05-30,13.48,13.95,13.48,13.82,58186435.0
2018-05-31,13.74,13.93,13.69,13.73,46797677.0
2018-06-01,13.98,14.4,13.92,14.4,71677869.0
2018-06-04,14.76,14.98,14.52,14.85,74545986.0
2018-06-05,14.85,14.92,14.63,14.85,56122654.0
2018-06-06,15.07,15.74,15.04,15.67,97089040.0
2018-06-07,15.83,15.97,14.85,14.89,99860297.0
2018-06-08,14.52,15.33,14.31,15.25,81930486.0
2018-06-11,15.21,15.89,15.01,15.73,80737640.0
2018-06-12,15.84,15.95,15.43,15.85,67002592.0
2018-06-13,15.81,16.52,15.78,16.32,90227322.0
2018-06-14,16.62,16.79,15.58,16.25,113048551.0
2018-06-15,16.06,16.52,15.82,16.34,77612174.0
2018-06-18,16.18,17.34,16.13,17.11,104317396.0
2018-06-19,16.85,17.29,16.31,16.69,92542859.0
2018-06-20,16.83,17.13,16.37,16.52,76280646.0
2018-06-21,16.65,16.87,15.46,15.65,95638369.0
2018-06-22,15.78,15.91,15.56,15.8,59257099.0
2018-06-25,15.64,15.74,14.54,15.11,94418420.0
2018-06-26,15.32,15.6,15.1,15.5,54213466.0
2018-06-27,15.65,15.76,14.96,14.97,56014335.0
2018-06-28,14.85,15.36,14.75,15.31,48716794.0
2018-06-29,15.41,15.49,14.98,14.99,41527791.0
2018-07-02,14.8,15.18,14.74,15.16,43398768.0
2018-07-03,15.21,15.34,14.96,15.0,32094031.0
2018-07-05,15.13,15.5,15.02,15.5,40703271.0
2018-07-06,15.52,16.39,15.48,16.36,65101672.0
2018-07-09,16.73,16.84,16.17,16.61,58525542.0
2018-07-10,16.59,16.65,16.31,16.55,37092975.0
2018-07-11,16.15,16.53,16.02,16.27,42544103.0
2018-07-12,16.41,16.79,16.38,16.56,44188137.0
2018-07-13,16.68,16.69,16.22,16.27,40698475.0
2018-07-16,16.42,17.0,16.41,16.58,65275291.0
2018-07-17,16.5,16.88,16.48,16.87,42313518.0
2018-07-18,16.94,16.99,16.55,16.85,40881493.0
2018-07-19,16.71,16.88,16.55,16.71,41267829.0
2018-07-20,16.66,16.88,16.44,16.5,42906009.0
2018-07-23,16.47,16.68,15.9,16.66,44940819.0
2018-07-24,16.75,16.86,16.11,16.19,58201458.0
2018-07-25,16.3,16.39,15.72,16.05,83639684.0
2018-07-26,17.16,18.45,16.83,18.35,192661124.0
2018-07-27,19.07,19.88,18.31,18.94,161903789.0
2018-07-30,19.4,20.18,19.31,19.42,160823407.0
2018-07-31,19.35,19.5,18.27,18.33,118403405.0
2018-08-01,18.34,18.95,18.32,18.48,75495240.0
2018-08-02,18.17,18.83,18.0,18.79,52867121.0
2018-08-03,18.94,19.06,18.37,18.49,53232065.0
2018-08-06,18.89,19.44,18.46,19.43,83579668.0
2018-08-07,19.53,19.71,19.08,19.56,72822590.0
2018-08-08,19.46,19.77,19.26,19.58,52081364.0
2018-08-09,19.58,19.71,19.08,19.1,46653358.0
2018-08-10,19.09,19.48,18.85,19.06,65821056.0
2018-08-13,19.16,19.93,19.12,19.73,81411331.0
2018-08-14,19.97,20.28,19.63,20.02,89195509.0
2018-08-15,19.86,20.1,19.2,19.7,86355654.0
2018-08-16,19.86,20.07,19.25,19.33,69733708.0
2018-08-17,19.12,19.82,18.73,19.77,60616638.0
2018-08-20,19.79,20.08,19.35,19.98,62983236.0
2018-08-21,19.98,20.42,19.86,20.4,55628983.0
2018-08-22,20.28,20.92,20.21,20.9,62002721.0
2018-08-23,21.19,22.32,21.14,22.29,113444117.0
2018-08-24,22.91,24.0,22.67,23.98,164328182.0
2018-08-27,24.94,27.3,24.63,25.26,325058400.0
2018-08-28,25.51,26.18,24.04,25.05,215771220.0
2018-08-29,24.36,25.41,24.01,25.2,143223187.0
2018-08-30,25.29,25.67,24.76,24.89,103607291.0
2018-08-31,24.89,25.24,24.72,25.17,65206352.0
2018-09-04,25.62,28.11,25.57,28.06,192541253.0
